"DATA","HORA","NATUREZA_ACIDENTE","SITUACAO","BAIRRO","AUTO","MOTO","CICLOM","CICLISTA","PEDESTRE","ONIBUS","CAMINHAO","VIATURA","OUTROS","VITIMAS","TEMPO_CLIMA","SINALIZACAO","CONDICAO_VIA","CONSERVACAO_VIA","MAO_DIRECAO","TIPO","ACIDENTE_VERIFICADO","RPA","REGIAO"
"2019-01-01","00:41:00","SEM VÍTIMA","FINALIZADA","IPSEP","2","0","0","0","0","0","0","0","0","0","Bom","Perfeito estado","Seca","Perfeito estado","Única","","","6","SUL"
"2019-01-01","01:37:00","SEM VÍTIMA","FINALIZADA","BOA VIAGEM","2","0","0","0","0","0","0","0","0","0","Bom","Perfeito estado","Seca","Perfeito estado","Única","","","6","SUL"
"2019-01-01","14:20:00","SEM VÍTIMA","CANCELADA","BOA VIAGEM","2","0","0","0","0","0","0","0","0","0","OUTROS","OUTROS","OUTROS","OUTROS","OUTROS","","","6","SUL"
"2019-01-01","02:53:00","SEM VÍTIMA","CANCELADA","IMBIRIBEIRA","2","0","0","0","0","0","0","0","0","0","OUTROS","OUTROS","OUTROS","OUTROS","OUTROS","","","6","SUL"
"2019-01-01","08:17:00","COM VÍTIMA","FINALIZADA","JAQUEIRA","0","0","0","1","0","1","0","0","0","1","Bom","Perfeito estado","Seca","Perfeito estado","Única","","","3","NOROESTE"
"2019-01-01","09:30:00","COM VÍTIMA","FINALIZADA","IBURA","1","1","0","0","0","0","0","0","0","2","Bom","Perfeito estado","Seca","Perfeito estado","Dupla","","","6","SUL"
"2019-01-01","09:54:00","COM VÍTIMA","FINALIZADA","SAN MARTIN","1","0","0","0","0","0","0","0","0","4","Bom","Perfeito estado","Seca","Perfeito estado","Única","","","5","SUDOESTE"
"2019-01-01","13:05:00","SEM VÍTIMA","FINALIZADA","BONGI","1","0","0","0","0","0","1","0","0","0","Bom","Perfeito estado","Seca","Perfeito estado","Dupla","","","5","SUDOESTE"
"2019-01-01","15:50:00","SEM VÍTIMA","FINALIZADA","MADALENA","2","0","0","0","0","0","0","0","0","0","Bom","Perfeito estado","Seca","Perfeito estado","Única","","","4","OESTE"
"2019-01-01","16:01:00","COM VÍTIMA","CANCELADA","CAMPO GRANDE","1","0","0","0","0","0","0","0","0","1","OUTROS","OUTROS","OUTROS","OUTROS","OUTROS","","","2","NORTE"
"2019-01-01","17:23:00","SEM VÍTIMA","FINALIZADA","NOVA DESCOBERTA","1","0","1","0","0","0","0","0","0","0","Bom","Perfeito estado","Seca","Perfeito estado","Dupla","","","3","NOROESTE"
"2019-01-01","19:26:00","SEM VÍTIMA","FINALIZADA","ENGENHO DO MEIO","2","0","0","0","0","0","0","0","0","0","Bom","Incompleta","Seca","Mal iluminada","Dupla","","","4","OESTE"
"2019-01-01","20:30:00","COM VÍTIMA","FINALIZADA","ESTÂNCIA","3","0","0","0","0","0","0","0","0","1","Bom","Perfeito estado","Seca","Perfeito estado","Dupla","","","0",""
"2019-01-01","21:05:00","SEM VÍTIMA","CANCELADA","BOA VIAGEM","2","0","0","0","0","0","0","0","0","0","OUTROS","OUTROS","OUTROS","OUTROS","OUTROS","","","6","SUL"
"2019-01-02","06:41:00","SEM VÍTIMA","FINALIZADA","BOMBA DO HEMETÉRIO","1","0","0","0","0","1","0","0","0","0","Bom","Perfeito estado","Seca","Perfeito estado","Dupla","","","0",""
"2019-01-02","07:26:00","SEM VÍTIMA","FINALIZADA","IMBIRIBEIRA","2","0","0","0","0","0","0","0","0","0","Bom","Perfeito estado","Seca","Perfeito estado","Dupla","","","6","SUL"
"2019-01-02","07:38:00","SEM VÍTIMA","FINALIZADA","MACAXEIRA","1","1","0","0","0","0","0","0","0","0","Bom","Incompleta","Seca","Perfeito estado","Dupla","","","3","NOROESTE"
"2019-01-02","07:39:00","SEM VÍTIMA","FINALIZADA","IMBIRIBEIRA","1","0","0","0","0","1","0","0","0","0","Bom","Incompleta","Seca","Perfeito estado","Dupla","","","6","SUL"
"2019-01-02","08:07:00","COM VÍTIMA","FINALIZADA","SOLEDADE","1","1","0","0","0","0","0","0","0","1","Bom","Perfeito estado","Seca","Perfeito estado","Única","","","1","CENTRO"
"2019-01-02","08:16:00","SEM VÍTIMA","FINALIZADA","GRAÇAS","2","0","0","0","0","0","0","0","0","0","Bom","Perfeito estado","Seca","Perfeito estado","Única","","","0",""
