Protocolo;data;hora;natureza;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
202200001,0;2022-01-01;;COM VÍTIMA;FINALIZADA;JORDÃO;AV MARIA IRENE;130,0;;;JORDÃO;;SUBURBIO;COLISÃO FRONTAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202200007,0;2022-01-01;;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;LADO OPOSTO AO NÚMERO 4728;IMBIRIBEIRA;471,0;CIDADE;COLISÃO TRASEIRA;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canteiro central;;
202200025,0;2022-01-01;;COM VÍTIMA;CANCELADA;CAXANGÁ;AV CAXANGA;;;PROX AO CRUZAMENTO  DE SAN MARTIN E/F A IGREJA SAO SEBASTIAO  S/T SUB;CAXANGÁ;;;COLISÃO TRASEIRA;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;;;;;;;;;;;;;
202200029,0;2022-01-01;;COM VÍTIMA;CANCELADA;JOANA BEZERRA;AV GOVERNADOR AGAMENON MAGALHAES;;;ENFRENTE AO FORUM DE JOANA BEZERRA SENTIDO BOA VIAGEM;JOANA BEZERRA;;;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
202200082,0;2022-01-02;;COM VÍTIMA;FINALIZADA;AFLITOS;RUA MANUEL DE CARVALHO;432,0;RUA CARNEIRO VILELA;PRÓX AO CAMPO DO NAUTICO;AFLITOS;;SUBURBIO;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;"Placas ""Pare""";;Única;Faixa contínua;;
202200085,0;2022-01-02;;COM VÍTIMA;FINALIZADA;TAMARINEIRA;AV NORTE MIGUEL ARRAES DE ALENCAR;;RUA CONEGO BARATA;SEMAFORO 062;TAMARINEIRA;62,0;SUBURBIO;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;;;;
202200086,0;2022-01-02;;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;841,0;;AO LADO DA MAGAZINE E E/F AO RECIFE RADIADORES / PRÓX A ESTAÇÃO, SNT AFOGADOS;IMBIRIBEIRA;;CIDADE;COLISÃO LATERAL;1,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;Longo da via;Chuvoso;;Perfeito estado;Molhada;Perfeito estado;Outros;;40 km/h;;;;
202200107,0;2022-01-03;;SEM VÍTIMA;FINALIZADA;VASCO DA GAMA;RUA NORDESTE;109,0;;EM FRENTE AO Nº 109;VASCO DA GAMA;;CIDADE;CAPOTAMENTO;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;;Chuvoso;Não existe;Não existente;Molhada;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202200139,0;2022-01-03;;SEM VÍTIMA;FINALIZADA;TAMARINEIRA;RUA CONEGO BARATA;410,0;;EM FRENTE A BORRACHARIA;TAMARINEIRA;;SUBURBIO;;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;;Dupla;Faixa seccionada;Canteiro central;
202200154,0;2022-01-03;;COM VÍTIMA;CANCELADA;CAXANGÁ;AV CAXANGA;;;PROX AO POSTO DISLUBE;CAXANGÁ;;CAMARAGIBE;COLISÃO LATERAL;1,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;;;;;;;;;;;;;
